product_code,name,supplier_display,location,threshold,lead_time_days
5055331330505,BOND-PRIME Dewax Solution,Leica,,0,2
5055331330512,BOND-PRIME Wash Solution Concentrate,Leica,,0,2
5055331330529,BOND-PRIME Epitope Retrieval Solution 1,Leica,,0,2
5055331330536,BOND-PRIME Epitope Retrieval Solution 2,Leica,,0,2
5055331330550,BOND-PRIME Hematoxylin,Leica,,0,2
5055331316639,RNA ISH Anti-Fluorescein Antibody,Leica,,0,2
5055331316622,RNA ISH Anti-Biotin Antibody,Leica,,0,2
5055331316615,RNA ISH Stringency Wash Solution,Leica,,0,2
5055331316608,RNA ISH Anti-Fluorescein Antibody,Leica,,0,2
5055331327307,BOND Hybridization Solution,Leica,,0,2
5055331316585,BOND Dewax Solution,Leica,,0,2
5055331316578,BOND Primary Antibody Diluent,Leica,,0,2
5055331316561,BOND DAB Enhancer,Leica,,0,2
5055331316554,BOND Enzyme Pre-treatment Kit,Leica,,0,2
5055331316547,BOND Wash Solution 10x Concentrate,Leica,,0,2
5055331316530,BOND Epitope Retrieval Solution 2,Leica,,0,2
5055331316523,BOND Epitope Retrieval Solution 1,Leica,,0,2
5055331331014,BOND-PRIME Polymer DAB Detection System,Leica,,0,2
5055331330574,BOND-PRIME Polymer AP Detection System,Leica,,0,2
5055331317599,BOND Polymer Refine Red Detection,Leica,,0,2
5055331337504,ChromoPlex 1 Dual Detection for BOND-PRIME,Leica,,0,2
5055331319807,BOND ChromoPlex1 Dual Detection,Leica,,0,2
5055331326102,BOND FISH Kit,Leica,,0,2
5055331322234,BOND ChromoPlex1 Dual Detection,Leica,,0,2
5055331310460,BOND Polymer Refine Detection,Leica,,0,2
5055331330994,BOND RNAScope Brown Detection,Leica,,0,2
5055331316424,Novocastra Lyophilized Mouse Monoclonal Antibody Beta-Dystroglycan,Leica,,0,2
5055331310521,Novocastra Lyophilized Mouse Monoclonal Antibody Utrophin (N-terminus),Leica,,0,2
5055331310774,Novocastra Lyophilized Mouse Monoclonal Antibody Delta-Sarcoglycan,Leica,,0,2
5055331310439,Novocastra Lyophilized Mouse Monoclonal Antibody Dystrophin (Rod Domain),Leica,,0,2
5055331310392,Novocastra Lyophilized Mouse Monoclonal Antibody Dystrophin (C-terminus),Leica,,0,2
5055331310354,Novocastra Lyophilized Mouse Monoclonal Antibody Dystrophin (N-terminus),Leica,,0,2
5055331309846,Novocastra Lyophilized Mouse Monoclonal Antibody Emerin,Leica,,0,2
5055331309082,Novocastra Lyophilized Mouse Monoclonal Antibody Gamma-Sarcoglycan,Leica,,0,2
5055331308511,Novocastra Lyophilized Mouse Monoclonal Antibody Dysferlin,Leica,,0,2
5055331308528,Novocastra Lyophilized Mouse Monoclonal Antibody Dysferlin,Leica,,0,2
5055331311788,Novocastra Liquid Mouse Monoclonal Antibody Cytokeratin 20,Leica,,0,2
5055331317193,Novocastra Liquid Mouse Monoclonal Antibody Cytokeratin (8/18),Leica,,0,2
5055331326843,Novocastra Liquid Mouse Monoclonal Antibody Multi-Cytokeratin,Leica,,0,2
5055331326447,Novocastra Liquid Mouse Monoclonal Antibody Alpha Fetoprotein,Leica,,0,2
5055331322555,Novocastra Liquid Mouse Monoclonal Antibody p80 (Anaplastic Lymphoma Kinase),Leica,,0,2
5055331317414,"Novocastra Liquid Mouse Monoclonal Antibody Alpha-Methylacyl-CoA Racemase (AMACR, p504S)",Leica,,0,2
5055331328403,Novocastra Liquid Mouse Monoclonal Antibody Androgen Receptor,Leica,,0,2
5055331317100,Novocastra Liquid Mouse Monoclonal Antibody Alpha-Sarcoglycan (Adhalin),Leica,,0,2
5055331326454,Novocastra Liquid Mouse Monoclonal Antibody Beta-Catenin,Leica,,0,2
5055331316226,Novocastra Liquid Mouse Monoclonal Antibody Bcl-2 Oncoprotein,Leica,,0,2
5055331316141,Novocastra Liquid Mouse Monoclonal Antibody Bcl-6,Leica,,0,2
5055331316356,Novocastra Liquid Mouse Monoclonal Antibody Beta-Sarcoglycan,Leica,,0,2
5055331315816,Novocastra Liquid Mouse Monoclonal Antibody CA125 (Ovarian Cancer Antigen),Leica,,0,2
5055331315762,Novocastra Liquid Mouse Monoclonal Antibody Carbonic Anhydrase IX,Leica,,0,2
5055331318411,Novocastra Liquid Mouse Monoclonal Antibody Calcitonin,Leica,,0,2
5055331315571,Novocastra Liquid Mouse Monoclonal Antibody Calretinin,Leica,,0,2
5055331315304,Novocastra Liquid Mouse Monoclonal Antibody c-erbB-2 Oncoprotein,Leica,,0,2
5055331315229,"Novocastra Liquid
Mouse Monoclonal Antibody
c-erbB-2 Oncoprotein",Leica,,0,2
5055331315106,Novocastra Liquid Mouse Monoclonal Antibody CD10,Leica,,0,2
5055331314963,Novocastra Liquid Mouse Monoclonal Antibody c-kit Oncoprotein (CD117),Leica,,0,2
5055331325785,Novocastra Liquid Rabbit Monoclonal Antibody c-kit Oncoprotein (CD117),Leica,,0,2
5055331314901,Novocastra Liquid Mouse Monoclonal Antibody CD11c,Leica,,0,2
5055331318466,Novocastra Liquid Mouse Monoclonal Antibody CD123,Leica,,0,2
5055331326430,Novocastra Liquid Mouse Monoclonal Antibody CD13,Leica,,0,2
5055331325518,Novocastra Liquid Mouse Monoclonal Antibody CD15 (MMA),Leica,,0,2
5055331326461,Novocastra Liquid Mouse Monoclonal Antibody CD16,Leica,,0,2
5055331323712,Novocastra Liquid Mouse Monoclonal Antibody CD163,Leica,,0,2
5055331314475,Novocastra Liquid Mouse Monoclonal Antibody CD19,Leica,,0,2
5055331314352,Novocastra Liquid Mouse Monoclonal Antibody CD1a,Leica,,0,2
5055331314178,Novocastra Liquid Mouse Monoclonal Antibody CD20,Leica,,0,2
5055331314086,Novocastra Liquid Mouse Monoclonal Antibody CD21,Leica,,0,2
5055331314277,Novocastra Liquid Mouse Monoclonal Antibody CD2 (LFA-2),Leica,,0,2
5055331314000,Novocastra Liquid Mouse Monoclonal Antibody CD23,Leica,,0,2
5055331313690,Novocastra Liquid Mouse Monoclonal Antibody CD30,Leica,,0,2
5055331325808,Novocastra Liquid Mouse Monoclonal Antibody CD31 (PECAM-1),Leica,,0,2
5055331313546,Novocastra Liquid Mouse Monoclonal Antibody CD33,Leica,,0,2
5055331313850,Novocastra Liquid Mouse Monoclonal Antibody CD3,Leica,,0,2
5055331313430,Novocastra Liquid Mouse Monoclonal Antibody CD38,Leica,,0,2
5055331323767,Novocastra Liquid Mouse Monoclonal Antibody CD4,Leica,,0,2
5055331313072,Novocastra Liquid Mouse Monoclonal Antibody CD5,Leica,,0,2
5055331323644,Novocastra Liquid Mouse Monoclonal Antibody CD56 (NCAM),Leica,,0,2
5055331322319,Novocastra Liquid Mouse Monoclonal Antibody CD68,Leica,,0,2
5055331326423,Novocastra Liquid Mouse Monoclonal Antibody CD71,Leica,,0,2
5055331312631,Novocastra Liquid Mouse Monoclonal Antibody CD7,Leica,,0,2
5055331325501,Novocastra Liquid Mouse Monoclonal Antibody CD79a (JCB117),Leica,,0,2
5055331322890,Novocastra Liquid Mouse Monoclonal Antibody CD8,Leica,,0,2
5055331318312,Novocastra Liquid Mouse Monoclonal Antibody CD99,Leica,,0,2
5055331326850,Novocastra Liquid Mouse Monoclonal Antibody Carcinoembryonic Antigen,Leica,,0,2
5055331326478,Novocastra Liquid Mouse Monoclonal Antibody Chromogranin A,Leica,,0,2
5055331326416,Novocastra Liquid Mouse Monoclonal Antibody Cytokeratin 17,Leica,,0,2
5055331311726,Novocastra Liquid Mouse Monoclonal Antibody Cytokeratin 20,Leica,,0,2
5055331311566,Novocastra Liquid Mouse Monoclonal Antibody Cytokeratin 5,Leica,,0,2
5055331311450,Novocastra Liquid Mouse Monoclonal Antibody Cytokeratin 7,Leica,,0,2
5055331311399,Novocastra Liquid Mouse Monoclonal Antibody Cytokeratin 7,Leica,,0,2
5055331310897,Novocastra Liquid Mouse Monoclonal Antibody Cyclin D1,Leica,,0,2
5055331310668,Novocastra Liquid Mouse Monoclonal Antibody Desmin,Leica,,0,2
5055331310583,Novocastra Liquid Mouse Monoclonal Antibody DOG-1,Leica,,0,2
5055331320308,Novocastra Liquid Mouse Monoclonal Antibody E-Cadherin,Leica,,0,2
5055331309969,Novocastra Liquid Mouse Monoclonal Antibody Epidermal Growth Factor Receptor,Leica,,0,2
5055331309891,Novocastra Liquid Mouse Monoclonal Antibody Epithelial Membrane Antigen,Leica,,0,2
5055331309785,Novocastra Liquid Mouse Monoclonal Antibody Endothelial Cell Marker (CD34),Leica,,0,2
5055331309617,"Estrogen Receptor Clone 6F11  Liquid Concentrate Primary Antibody, Novocastra",Leica,,0,2
5055331309624,Novocastra Liquid Mouse Monoclonal Antibody Estrogen Receptor,Leica,,0,2
5055331309341,Novocastra Liquid Mouse Monoclonal Antibody EZH2 (Enhancer of Zeste Homolog 2 (Drosophila)),Leica,,0,2
5055331309174,Novocastra Liquid Mouse Monoclonal Antibody Folate Receptor Alpha,Leica,,0,2
5055331308887,Novocastra Liquid Mouse Monoclonal Antibody Gross Cystic Disease Fluid Protein-15,Leica,,0,2
5055331308825,Novocastra Liquid Mouse Monoclonal Antibody Geminin,Leica,,0,2
5055331325761,Novocastra Liquid Mouse Monoclonal Antibody Glial Fibrillary Acidic Protein,Leica,,0,2
5055331308689,Novocastra Liquid Mouse Monoclonal Antibody Granzyme B,Leica,,0,2
5055331328410,Novocastra Liquid Mouse Monoclonal Antibody Human Herpesvirus (Type 8) (latent nuclear antigen),Leica,,0,2
5055331319326,Novocastra Liquid Mouse Monoclonal Antibody Melanoma Marker (HMB45),Leica,,0,2
5055331318541,Novocastra Liquid Mouse Monoclonal Antibody Helicobacter pylori,Leica,,0,2
5055331308023,Novocastra Liquid Mouse Monoclonal Antibody Immunoglobulin A,Leica,,0,2
5055331307965,Novocastra Liquid Mouse Monoclonal Antibody Immunoglobulin D,Leica,,0,2
5055331317711,Novocastra Liquid Mouse Monoclonal Antibody Immunoglobulin G,Leica,,0,2
5055331307880,Novocastra Liquid Mouse Monoclonal Antibody Immunoglobulin M,Leica,,0,2
5055331318350,Novocastra Liquid Mouse Monoclonal Antibody Inhibin Alpha,Leica,,0,2
5055331307637,Novocastra Liquid Mouse Monoclonal Antibody Kappa Light Chain,Leica,,0,2
5055331307507,Novocastra Liquid Mouse Monoclonal Antibody Ki67 Antigen,Leica,,0,2
5055331307408,Novocastra Liquid Mouse Monoclonal Antibody Lambda Light Chain,Leica,,0,2
5055331328236,Novocastra Liquid Mouse Monoclonal Antibody Langerin,Leica,,0,2
5055331323132,Novocastra Liquid Mouse Monoclonal Antibody CD45,Leica,,0,2
5055331307125,Novocastra Liquid Mouse Monoclonal Antibody Cytokeratin 14,Leica,,0,2
5055331306593,Novocastra Liquid Mouse Monoclonal Antibody Melan A,Leica,,0,2
5055331306487,Novocastra Liquid Mouse Monoclonal Antibody Mesothelin,Leica,,0,2
5055331306296,Novocastra Liquid Mouse Monoclonal Antibody Mismatch Repair Protein (MLH1),Leica,,0,2
5055331318572,Novocastra Liquid Mouse Monoclonal Antibody Muscle Specific Actin,Leica,,0,2
5055331328809,Novocastra Liquid Mouse Monoclonal Antibody Mismatch Repair Protein 2 (MSH2),Leica,,0,2
5055331306074,Novocastra Liquid Mouse Monoclonal Antibody Mismatch Repair Protein 6 (MSH6),Leica,,0,2
5055331317773,Novocastra Liquid Mouse Monoclonal Antibody Multiple Myeloma Oncogene 1 (MUM-1),Leica,,0,2
5055331305725,Novocastra Liquid Mouse Monoclonal Antibody Myf-4 (Rhabdomyosarcoma Marker),Leica,,0,2
5055331305572,Novocastra Liquid Mouse Monoclonal Antibody Napsin A,Leica,,0,2
5055331325747,Novocastra Liquid Mouse Monoclonal Antibody Neurofilament 200 kD,Leica,,0,2
5055331305152,Novocastra Liquid Mouse Monoclonal Antibody Oct-3/4,Leica,,0,2
5055331304902,Novocastra Liquid Mouse Monoclonal Antibody p53 Protein (DO-7),Leica,,0,2
5055331328229,Novocastra Liquid Mouse Monoclonal Antibody p57 Protein (Kip2),Leica,,0,2
5055331320063,Novocastra Liquid Mouse Monoclonal Antibody p63 Protein,Leica,,0,2
5055331323897,Novocastra Liquid Mouse Monoclonal Antibody Pax-5,Leica,,0,2
5055331303271,Novocastra Liquid Mouse Monoclonal Antibody Protein Gene Product 9.5,Leica,,0,2
5055331302908,Novocastra Liquid Mouse Monoclonal Antibody Progesterone Receptor,Leica,,0,2
5055331303165,Novocastra Liquid Mouse Monoclonal Antibody Progesterone Receptor Clone (16) (Concentrated Liquid Antibody Format),Leica,,0,2
5055331303066,Novocastra Liquid Mouse Monoclonal Antibody Progesterone Receptor,Leica,,0,2
5055331303011,Novocastra Liquid Mouse Monoclonal Antibody p53 Protein (DO-7),Leica,,0,2
5055331302793,Novocastra Liquid Mouse Monoclonal Antibody Placental Alkaline Phosphatase,Leica,,0,2
5055331318480,Novocastra Liquid Mouse Monoclonal Antibody Mismatch Repair Protein (PMS2),Leica,,0,2
5055331325723,Novocastra Liquid Mouse Monoclonal Antibody Prostate Specific Antigen,Leica,,0,2
5055331328243,Novocastra Liquid Mouse Monoclonal Antibody Parathyroid Hormone,Leica,,0,2
5055331329707,Novocastra Liquid Rabbit Monoclonal Antibody S100 (EP32),Leica,,0,2
5055331325730,Novocastra Liquid Mouse Monoclonal Antibody Alpha Smooth Muscle Actin,Leica,,0,2
5055331301352,Novocastra Liquid Mouse Monoclonal Antibody Synaptophysin,Leica,,0,2
5055331301208,Novocastra Liquid Mouse Monoclonal Antibody Terminal Deoxynucleotidyl Transferase,Leica,,0,2
5055331300935,Novocastra Liquid Mouse Monoclonal Antibody Thyroid Peroxidase,Leica,,0,2
5055331300676,Novocastra Liquid Mouse Monoclonal Antibody Thyroid Transcription Factor-1,Leica,,0,2
5055331300584,Novocastra Liquid Mouse Monoclonal Antibody Tyrosinase,Leica,,0,2
5055331300362,Novocastra Liquid Mouse Monoclonal Antibody Vimentin,Leica,,0,2
5055331300294,Novocastra Liquid Mouse Monoclonal Antibody Vimentin,Leica,,0,2
5055331322470,Novocastra Liquid Mouse Monoclonal Antibody von Willebrand Factor,Leica,,0,2
5055331300096,Novocastra Liquid Mouse Monoclonal Antibody Wilms’ Tumor,Leica,,0,2
5055331306548,Novocastra Lyophilized Mouse Monoclonal Antibody Merosin Laminin Alpha 2 Chain,Leica,,0,2
5055331301482,Novocastra Lyophilized Mouse Monoclonal Antibody Spectrin,Leica,,0,2
5055331305121,BOND Open Containers (30mL),Leica,,0,2
5055331305114,BOND Open Containers (7mL),Leica,,0,2
5055331305107,BOND Titration Kit,Leica,,0,2
5055331305091,BOND Titration Container Inserts,Leica,,0,2
5055331304780,"BOND™ Ready-to-Use Primary Antibody
Carcinoembryonic Antigen (II-7)",Leica,,0,2
5055331304773,BOND Ready-to-Use Primary Antibody Prostatic Acid Phosphatase (PASE/4LJ),Leica,,0,2
5055331325716,BOND Ready-to-Use Primary Antibody CD117 (EP10),Leica,,0,2
5055331320421,Estrogen Receptor Clone 6F11 Ready-To-Use Primary Antibody for BOND,Leica,,0,2
5055331304766,BOND Ready-To-Use Primary Antibody Human Chorionic Gonadotrophin (Polyclonal),Leica,,0,2
5055331329684,BOND Ready-to-Use Primary Antibody p16 (6H12),Leica,,0,2
5055331304759,BOND Ready-To-Use Primary Antibody Mast Cell Tryptase (10D11),Leica,,0,2
5055331321541,BOND Ready-to-Use Primary Antibody Cytokeratin 20 (Ks20.8),Leica,,0,2
5055331304735,BOND Ready-to-Use Primary Antibody Glial Fibrillary Acidic Protein (GA5),Leica,,0,2
5055331319104,BOND Ready-to-Use Primary Antibody Melanoma Marker (HMB45),Leica,,0,2
5055331329714,BOND Ready-to-Use Primary Antibody S-100 (EP32),Leica,,0,2
5055331304728,BOND Ready-to-Use Primary Antibody Desmin (DE-R-11),Leica,,0,2
5055331304704,BOND Ready-to-Use Primary Antibody Epithelial Membrane Antigen (GP1.4),Leica,,0,2
5055331321558,BOND Ready-to-Use Primary Antibody Cytokeratin 20 (Ks20.8),Leica,,0,2
5055331304681,BOND Ready-to-Use Primary Antibody CD45 (X16/99),Leica,,0,2
5055331322494,BOND Ready-to-Use Primary Antibody Melan A (A103),Leica,,0,2
5055331326201,BOND Ready-to-Use Primary Antibody Cyclin D1 (EP12),Leica,,0,2
5055331328311,BOND Ready-to-Use Primary Antibody Human Herpesvirus (Type 8),Leica,,0,2
5055331328205,BOND Ready-to-Use Primary Antibody Muc-1 Glycoprotein (Ma695),Leica,,0,2
5055331328212,BOND Ready-to-Use Primary Antibody Muc-5AC Glycoprotein (CLH2),Leica,,0,2
5055331328304,BOND Ready-to-Use Primary Antibody Muc-6 Glycoprotein (CLH5),Leica,,0,2
5055331326027,BOND Ready-to-Use Primary Antibody von Willebrand Factor (36B11),Leica,,0,2
5055331304667,BOND Ready-to-Use Primary Antibody p53 (DO-7),Leica,,0,2
5055331325709,BOND Ready-to-Use Primary Antibody Immunoglobulin D (DRN1C),Leica,,0,2
5055331326485,BOND Ready-to-Use Primary Antibody Napsin A (IP64),Leica,,0,2
5055331304650,BOND Ready-to-Use Primary Antibody Cytokeratin 8/18 (5D3),Leica,,0,2
5055331320407,BOND Ready-to-Use Primary Antibody Cytokeratin 14 (LL002),Leica,,0,2
5055331318039,BOND Ready-to-Use Primary Antibody Beta-Catenin (17C2),Leica,,0,2
5055331304643,BOND Ready-to-Use Primary Antibody CD138 (MI15),Leica,,0,2
5055331325600,BOND Ready-to-Use Primary Antibody CD163 (10D6),Leica,,0,2
5055331318008,BOND Ready-to-Use Primary Antibody Tartrate-Resistant Acid Phosphatase (26E5),Leica,,0,2
5055331328335,BOND Ready-to-Use Primary Antibody Cytokeratin (AE1/AE3),Leica,,0,2
5055331321565,BOND Ready-to-Use Primary Antibody p63 (7JUL),Leica,,0,2
5055331318022,BOND Ready-to-Use Primary Antibody Cytokeratin 17 (E3),Leica,,0,2
5055331304612,BOND Ready-to-Use Primary Antibody Bcl-2 (bcl-2/100/D5),Leica,,0,2
5055331304605,BOND Ready-to-Use Primary Antibody Ki67 (MM1),Leica,,0,2
5055331322500,BOND Ready-to-Use Primary Antibody CD3 (LN10),Leica,,0,2
5055331318015,BOND Ready-to-Use Primary Antibody Multiple Myeloma Oncogene 1 (MUM1) (EAU32),Leica,,0,2
5055331323927,BOND Ready-to-Use Primary Antibody CD10 (56C6),Leica,,0,2
5055331304599,BOND Ready-to-Use Primary Antibody Cytokeratin HMW (34βE12),Leica,,0,2
